time,signal,price,qty,fee,balance,position,pnl
2025-11-26 03:45:00,buy,130977000.0000,0.00007635,5.00,989995.00,0.00007635,0.00
2025-11-26 03:50:00,buy,130843000.0000,0.00007643,5.00,979990.00,0.00015278,0.00
2025-11-26 03:55:00,buy,130444000.0000,0.00007666,5.00,969985.00,0.00022944,0.00
2025-11-26 04:00:00,buy,130192000.0000,0.00007681,5.00,959980.00,0.00030625,0.00
2025-11-26 04:05:00,buy,130053000.0000,0.00007689,5.00,949975.00,0.00038314,0.00
2025-11-26 04:15:00,buy,129806000.0000,0.00007704,5.00,939970.00,0.00046018,0.00
2025-11-26 04:20:00,buy,129783000.0000,0.00007705,5.00,929965.00,0.00053723,0.00
2025-11-26 04:25:00,buy,129580000.0000,0.00007717,5.00,919960.00,0.00061440,0.00
2025-11-26 04:30:00,buy,129734000.0000,0.00007708,5.00,909955.00,0.00069148,0.00
2025-11-26 04:35:00,buy,129579000.0000,0.00007717,5.00,899950.00,0.00076866,0.00
2025-11-26 05:30:00,sell,130835000.0000,0.00076866,50.28,1000466.73,0.00000000,466.73
2025-11-26 12:45:00,buy,130628000.0000,0.00007655,5.00,990461.73,0.00007655,0.00
2025-11-26 12:50:00,buy,130393000.0000,0.00007669,5.00,980456.73,0.00015324,0.00
2025-11-26 12:55:00,buy,130292000.0000,0.00007675,5.00,970451.73,0.00023000,0.00
2025-11-26 13:10:00,buy,130140000.0000,0.00007684,5.00,960446.73,0.00030684,0.00
2025-11-26 13:15:00,buy,130202000.0000,0.00007680,5.00,950441.73,0.00038364,0.00
2025-11-26 14:15:00,sell,130801000.0000,0.00038364,25.09,1000597.04,0.00000000,130.31
2025-11-26 18:05:00,buy,130993000.0000,0.00007634,5.00,990592.04,0.00007634,0.00
2025-11-26 18:30:00,buy,130568000.0000,0.00007659,5.00,980587.04,0.00015293,0.00
2025-11-26 18:35:00,buy,130518000.0000,0.00007662,5.00,970582.04,0.00022955,0.00
2025-11-26 18:45:00,buy,130338000.0000,0.00007672,5.00,960577.04,0.00030627,0.00
2025-11-26 18:50:00,buy,130341000.0000,0.00007672,5.00,950572.04,0.00038299,0.00
2025-11-26 18:55:00,buy,130288000.0000,0.00007675,5.00,940567.04,0.00045974,0.00
2025-11-26 19:20:00,buy,130373000.0000,0.00007670,5.00,930562.04,0.00053645,0.00
2025-11-26 21:15:00,buy,129753000.0000,0.00007707,5.00,920557.04,0.00061352,0.00
2025-11-26 21:20:00,buy,129816000.0000,0.00007703,5.00,910552.04,0.00069055,0.00
2025-11-26 21:30:00,buy,129778000.0000,0.00007705,5.00,900547.04,0.00076760,0.00
2025-11-26 22:05:00,buy,129970000.0000,0.00007694,5.00,890542.04,0.00084454,0.00
2025-11-26 22:40:00,sell,130348000.0000,0.00084454,55.04,1000571.72,0.00000000,-25.32
2025-11-27 05:05:00,buy,133327000.0000,0.00007500,5.00,990566.72,0.00007500,0.00
2025-11-27 06:50:00,sell,134527000.0000,0.00007500,5.05,1000651.68,0.00000000,79.96
2025-11-27 12:55:00,buy,136349000.0000,0.00007334,5.00,990646.68,0.00007334,0.00
2025-11-27 13:25:00,buy,136480000.0000,0.00007327,5.00,980641.68,0.00014661,0.00
